3.21351e-05 7.14287e-23  -7.14274e-23 0.00000e+00 
3.22713e-05 7.20328e-23  -7.20315e-23 0.00000e+00 
3.24074e-05 7.26394e-23  -7.26381e-23 0.00000e+00 
3.25436e-05 7.32486e-23  -7.32473e-23 0.00000e+00 
3.26798e-05 7.38604e-23  -7.38591e-23 0.00000e+00 
3.28159e-05 7.44749e-23  -7.44736e-23 0.00000e+00 
3.29521e-05 7.50919e-23  -7.50907e-23 0.00000e+00 
3.30882e-05 7.57115e-23  -7.57102e-23 0.00000e+00 
3.32244e-05 7.63337e-23  -7.63324e-23 0.00000e+00 
3.33606e-05 7.69583e-23  -7.69570e-23 0.00000e+00 
3.34967e-05 7.75853e-23  -7.75840e-23 0.00000e+00 
3.36329e-05 7.82145e-23  -7.82132e-23 0.00000e+00 
3.37691e-05 7.88462e-23  -7.88449e-23 0.00000e+00 
3.39052e-05 7.94806e-23  -7.94793e-23 0.00000e+00 
3.40414e-05 8.01177e-23  -8.01164e-23 0.00000e+00 
3.41776e-05 8.07573e-23  -8.07560e-23 0.00000e+00 
3.43137e-05 8.13996e-23  -8.13983e-23 0.00000e+00 
3.44499e-05 8.20446e-23  -8.20433e-23 0.00000e+00 
3.45861e-05 8.26924e-23  -8.26911e-23 0.00000e+00 
3.47222e-05 8.33428e-23  -8.33415e-23 0.00000e+00 
3.48584e-05 8.39959e-23  -8.39946e-23 0.00000e+00 
3.49946e-05 8.46516e-23  -8.46502e-23 0.00000e+00 
3.51307e-05 8.53099e-23  -8.53086e-23 0.00000e+00 
3.52669e-05 8.59707e-23  -8.59694e-23 0.00000e+00 
3.54031e-05 8.66339e-23  -8.66326e-23 0.00000e+00 
3.55392e-05 8.72994e-23  -8.72981e-23 0.00000e+00 
3.56754e-05 8.79671e-23  -8.79658e-23 0.00000e+00 
3.58116e-05 8.86373e-23  -8.86360e-23 0.00000e+00 
3.59477e-05 8.93101e-23  -8.93088e-23 0.00000e+00 
3.60839e-05 8.99855e-23  -8.99842e-23 0.00000e+00 
3.62201e-05 9.06633e-23  -9.06620e-23 0.00000e+00 
3.63562e-05 9.13436e-23  -9.13423e-23 0.00000e+00 
3.64924e-05 9.20264e-23  -9.20251e-23 0.00000e+00 
3.66286e-05 9.27116e-23  -9.27103e-23 0.00000e+00 
3.67647e-05 9.33992e-23  -9.33979e-23 0.00000e+00 
3.69009e-05 9.40889e-23  -9.40876e-23 0.00000e+00 
3.70371e-05 9.47807e-23  -9.47794e-23 0.00000e+00 
3.71732e-05 9.54749e-23  -9.54736e-23 0.00000e+00 
3.73094e-05 9.61721e-23  -9.61708e-23 0.00000e+00 
3.74455e-05 9.68720e-23  -9.68707e-23 0.00000e+00 
3.75817e-05 9.75746e-23  -9.75733e-23 0.00000e+00 
3.77179e-05 9.82800e-23  -9.82787e-23 0.00000e+00 
3.78540e-05 9.89881e-23  -9.89867e-23 0.00000e+00 
3.79902e-05 9.96988e-23  -9.96975e-23 0.00000e+00 
3.81264e-05 1.00412e-22  -1.00411e-22 0.00000e+00 
3.82625e-05 1.01128e-22  -1.01127e-22 0.00000e+00 
3.83987e-05 1.01846e-22  -1.01845e-22 0.00000e+00 
3.85349e-05 1.02568e-22  -1.02566e-22 0.00000e+00 
3.86710e-05 1.03291e-22  -1.03290e-22 0.00000e+00 
3.88072e-05 1.04018e-22  -1.04016e-22 0.00000e+00 
3.89434e-05 1.04746e-22  -1.04745e-22 0.00000e+00 
3.90795e-05 1.05477e-22  -1.05476e-22 0.00000e+00 
3.92157e-05 1.06211e-22  -1.06209e-22 0.00000e+00 
3.93519e-05 1.06947e-22  -1.06945e-22 0.00000e+00 
3.94880e-05 1.07685e-22  -1.07683e-22 0.00000e+00 
3.96242e-05 1.08425e-22  -1.08424e-22 0.00000e+00 
3.97604e-05 1.09169e-22  -1.09167e-22 0.00000e+00 
3.98965e-05 1.09915e-22  -1.09913e-22 0.00000e+00 
4.00327e-05 1.10663e-22  -1.10662e-22 0.00000e+00 
4.01689e-05 1.11415e-22  -1.11414e-22 0.00000e+00 
4.03050e-05 1.12169e-22  -1.12168e-22 0.00000e+00 
4.04412e-05 1.12926e-22  -1.12925e-22 0.00000e+00 
4.05774e-05 1.13685e-22  -1.13684e-22 0.00000e+00 
4.07135e-05 1.14447e-22  -1.14446e-22 0.00000e+00 
4.08497e-05 1.15211e-22  -1.15210e-22 0.00000e+00 
4.09859e-05 1.15978e-22  -1.15977e-22 0.00000e+00 
4.11220e-05 1.16748e-22  -1.16746e-22 0.00000e+00 
4.12582e-05 1.17520e-22  -1.17519e-22 0.00000e+00 
4.13944e-05 1.18295e-22  -1.18294e-22 0.00000e+00 
4.15305e-05 1.19072e-22  -1.19071e-22 0.00000e+00 
4.16667e-05 1.19852e-22  -1.19851e-22 0.00000e+00 
4.18028e-05 1.20634e-22  -1.20633e-22 0.00000e+00 
4.19390e-05 1.21418e-22  -1.21417e-22 0.00000e+00 
4.20752e-05 1.22205e-22  -1.22204e-22 0.00000e+00 
4.22113e-05 1.22995e-22  -1.22994e-22 0.00000e+00 
4.23475e-05 1.23787e-22  -1.23786e-22 0.00000e+00 
4.24837e-05 1.24582e-22  -1.24581e-22 0.00000e+00 
4.26198e-05 1.25380e-22  -1.25378e-22 0.00000e+00 
4.27560e-05 1.26180e-22  -1.26179e-22 0.00000e+00 
4.28922e-05 1.26983e-22  -1.26981e-22 0.00000e+00 
4.30283e-05 1.27788e-22  -1.27786e-22 0.00000e+00 
4.31645e-05 1.28595e-22  -1.28594e-22 0.00000e+00 
4.33007e-05 1.29406e-22  -1.29404e-22 0.00000e+00 
4.34368e-05 1.30219e-22  -1.30218e-22 0.00000e+00 
4.35730e-05 1.31035e-22  -1.31033e-22 0.00000e+00 
4.37092e-05 1.31852e-22  -1.31851e-22 0.00000e+00 
4.38453e-05 1.32672e-22  -1.32671e-22 0.00000e+00 
4.39815e-05 1.33494e-22  -1.33493e-22 0.00000e+00 
4.41177e-05 1.34319e-22  -1.34317e-22 0.00000e+00 
4.42538e-05 1.35146e-22  -1.35145e-22 0.00000e+00 
4.43900e-05 1.35976e-22  -1.35975e-22 0.00000e+00 
4.45262e-05 1.36809e-22  -1.36808e-22 0.00000e+00 
4.46623e-05 1.37645e-22  -1.37643e-22 0.00000e+00 
4.47985e-05 1.38483e-22  -1.38481e-22 0.00000e+00 
4.49347e-05 1.39323e-22  -1.39322e-22 0.00000e+00 
4.50708e-05 1.40166e-22  -1.40165e-22 0.00000e+00 
