6.45685e-03 6.89051e+10  -6.89039e+10 0.00000e+00 
6.48388e-03 7.00554e+10  -7.00542e+10 0.00000e+00 
6.51090e-03 7.12197e+10  -7.12185e+10 0.00000e+00 
6.53793e-03 7.23984e+10  -7.23971e+10 0.00000e+00 
6.56495e-03 7.35914e+10  -7.35901e+10 0.00000e+00 
6.59197e-03 7.47989e+10  -7.47977e+10 0.00000e+00 
6.61899e-03 7.60211e+10  -7.60198e+10 0.00000e+00 
6.64601e-03 7.72580e+10  -7.72568e+10 0.00000e+00 
6.67303e-03 7.85099e+10  -7.85086e+10 0.00000e+00 
6.70005e-03 7.97768e+10  -7.97755e+10 0.00000e+00 
6.72707e-03 8.10589e+10  -8.10576e+10 0.00000e+00 
6.75409e-03 8.23563e+10  -8.23550e+10 0.00000e+00 
6.78110e-03 8.36691e+10  -8.36678e+10 0.00000e+00 
6.80812e-03 8.49975e+10  -8.49962e+10 0.00000e+00 
6.83513e-03 8.63416e+10  -8.63403e+10 0.00000e+00 
6.86215e-03 8.77015e+10  -8.77001e+10 0.00000e+00 
6.88916e-03 8.90773e+10  -8.90759e+10 0.00000e+00 
6.91617e-03 9.04691e+10  -9.04677e+10 0.00000e+00 
6.94318e-03 9.18770e+10  -9.18756e+10 0.00000e+00 
6.97019e-03 9.33011e+10  -9.32997e+10 0.00000e+00 
6.99720e-03 9.47416e+10  -9.47402e+10 0.00000e+00 
7.02421e-03 9.61984e+10  -9.61970e+10 0.00000e+00 
7.05122e-03 9.76719e+10  -9.76705e+10 0.00000e+00 
7.07823e-03 9.91619e+10  -9.91605e+10 0.00000e+00 
7.10523e-03 1.00669e+11  -1.00667e+11 0.00000e+00 
7.13224e-03 1.02193e+11  -1.02191e+11 0.00000e+00 
7.15924e-03 1.03733e+11  -1.03732e+11 0.00000e+00 
7.18625e-03 1.05291e+11  -1.05290e+11 0.00000e+00 
7.21325e-03 1.06866e+11  -1.06865e+11 0.00000e+00 
7.24025e-03 1.08459e+11  -1.08457e+11 0.00000e+00 
7.26725e-03 1.10069e+11  -1.10068e+11 0.00000e+00 
7.29425e-03 1.11697e+11  -1.11695e+11 0.00000e+00 
7.32125e-03 1.13343e+11  -1.13341e+11 0.00000e+00 
7.34825e-03 1.15006e+11  -1.15005e+11 0.00000e+00 
7.37525e-03 1.16688e+11  -1.16687e+11 0.00000e+00 
7.40224e-03 1.18388e+11  -1.18387e+11 0.00000e+00 
