4.20752e-02 5.94343e+11  -5.94337e+11 0.00000e+00 
4.22113e-02 6.02074e+11  -6.02068e+11 0.00000e+00 
4.23475e-02 6.09881e+11  -6.09874e+11 0.00000e+00 
4.24837e-02 6.17763e+11  -6.17756e+11 0.00000e+00 
4.26198e-02 6.25721e+11  -6.25715e+11 0.00000e+00 
4.27560e-02 6.33756e+11  -6.33749e+11 0.00000e+00 
4.28922e-02 6.41868e+11  -6.41862e+11 0.00000e+00 
4.30283e-02 6.50058e+11  -6.50051e+11 0.00000e+00 
4.31645e-02 6.58325e+11  -6.58319e+11 0.00000e+00 
4.33007e-02 6.66672e+11  -6.66665e+11 0.00000e+00 
4.34368e-02 6.75097e+11  -6.75091e+11 0.00000e+00 
4.35730e-02 6.83603e+11  -6.83596e+11 0.00000e+00 
4.37092e-02 6.92188e+11  -6.92181e+11 0.00000e+00 
4.38453e-02 7.00854e+11  -7.00847e+11 0.00000e+00 
4.39815e-02 7.09601e+11  -7.09594e+11 0.00000e+00 
4.41177e-02 7.18429e+11  -7.18423e+11 0.00000e+00 
4.42538e-02 7.27340e+11  -7.27333e+11 0.00000e+00 
4.43900e-02 7.36334e+11  -7.36327e+11 0.00000e+00 
4.45262e-02 7.45410e+11  -7.45403e+11 0.00000e+00 
4.46623e-02 7.54570e+11  -7.54563e+11 0.00000e+00 
4.47985e-02 7.63815e+11  -7.63808e+11 0.00000e+00 
4.49347e-02 7.73144e+11  -7.73137e+11 0.00000e+00 
4.50708e-02 7.82558e+11  -7.82551e+11 0.00000e+00 
4.52070e-02 7.92058e+11  -7.92051e+11 0.00000e+00 
4.53432e-02 8.01644e+11  -8.01637e+11 0.00000e+00 
4.54793e-02 8.11317e+11  -8.11310e+11 0.00000e+00 
4.56155e-02 8.21077e+11  -8.21070e+11 0.00000e+00 
4.57517e-02 8.30925e+11  -8.30918e+11 0.00000e+00 
4.58878e-02 8.40862e+11  -8.40854e+11 0.00000e+00 
4.60240e-02 8.50887e+11  -8.50879e+11 0.00000e+00 
4.61601e-02 8.61001e+11  -8.60994e+11 0.00000e+00 
4.62963e-02 8.71206e+11  -8.71198e+11 0.00000e+00 
4.64325e-02 8.81501e+11  -8.81493e+11 0.00000e+00 
4.65686e-02 8.91887e+11  -8.91879e+11 0.00000e+00 
4.67048e-02 9.02364e+11  -9.02356e+11 0.00000e+00 
4.68410e-02 9.12933e+11  -9.12926e+11 0.00000e+00 
4.69771e-02 9.23595e+11  -9.23588e+11 0.00000e+00 
4.71133e-02 9.34351e+11  -9.34343e+11 0.00000e+00 
4.72495e-02 9.45199e+11  -9.45192e+11 0.00000e+00 
4.73856e-02 9.56142e+11  -9.56135e+11 0.00000e+00 
4.75218e-02 9.67180e+11  -9.67172e+11 0.00000e+00 
4.76580e-02 9.78313e+11  -9.78305e+11 0.00000e+00 
4.77941e-02 9.89542e+11  -9.89534e+11 0.00000e+00 
4.79303e-02 1.00087e+12  -1.00086e+12 0.00000e+00 
4.80665e-02 1.01229e+12  -1.01228e+12 0.00000e+00 
4.82026e-02 1.02381e+12  -1.02380e+12 0.00000e+00 
4.83388e-02 1.03543e+12  -1.03542e+12 0.00000e+00 
4.84750e-02 1.04714e+12  -1.04714e+12 0.00000e+00 
4.86111e-02 1.05896e+12  -1.05895e+12 0.00000e+00 
4.87473e-02 1.07087e+12  -1.07087e+12 0.00000e+00 
4.88835e-02 1.08289e+12  -1.08288e+12 0.00000e+00 
4.90196e-02 1.09501e+12  -1.09500e+12 0.00000e+00 
4.91558e-02 1.10722e+12  -1.10722e+12 0.00000e+00 
4.92920e-02 1.11954e+12  -1.11953e+12 0.00000e+00 
4.94281e-02 1.13197e+12  -1.13196e+12 0.00000e+00 
4.95643e-02 1.14449e+12  -1.14448e+12 0.00000e+00 
4.97005e-02 1.15712e+12  -1.15711e+12 0.00000e+00 
4.98366e-02 1.16985e+12  -1.16984e+12 0.00000e+00 
4.99728e-02 1.18269e+12  -1.18268e+12 0.00000e+00 
5.01090e-02 1.19563e+12  -1.19563e+12 0.00000e+00 
5.02451e-02 1.20868e+12  -1.20867e+12 0.00000e+00 
5.03813e-02 1.22184e+12  -1.22183e+12 0.00000e+00 
5.05174e-02 1.23510e+12  -1.23509e+12 0.00000e+00 
5.06536e-02 1.24847e+12  -1.24846e+12 0.00000e+00 
5.07898e-02 1.26195e+12  -1.26194e+12 0.00000e+00 
5.09259e-02 1.27554e+12  -1.27553e+12 0.00000e+00 
5.10621e-02 1.28924e+12  -1.28923e+12 0.00000e+00 
5.11983e-02 1.30304e+12  -1.30303e+12 0.00000e+00 
5.13344e-02 1.31696e+12  -1.31695e+12 0.00000e+00 
5.14706e-02 1.33099e+12  -1.33098e+12 0.00000e+00 
5.16068e-02 1.34513e+12  -1.34512e+12 0.00000e+00 
5.17429e-02 1.35938e+12  -1.35937e+12 0.00000e+00 
5.18791e-02 1.37375e+12  -1.37374e+12 0.00000e+00 
5.20153e-02 1.38823e+12  -1.38822e+12 0.00000e+00 
5.21514e-02 1.40282e+12  -1.40281e+12 0.00000e+00 
5.22876e-02 1.41753e+12  -1.41752e+12 0.00000e+00 
5.24238e-02 1.43236e+12  -1.43235e+12 0.00000e+00 
5.25599e-02 1.44730e+12  -1.44729e+12 0.00000e+00 
5.26961e-02 1.46235e+12  -1.46234e+12 0.00000e+00 
5.28323e-02 1.47753e+12  -1.47752e+12 0.00000e+00 
5.29684e-02 1.49282e+12  -1.49281e+12 0.00000e+00 
5.31046e-02 1.50823e+12  -1.50822e+12 0.00000e+00 
5.32408e-02 1.52376e+12  -1.52375e+12 0.00000e+00 
5.33769e-02 1.53941e+12  -1.53940e+12 0.00000e+00 
5.35131e-02 1.55517e+12  -1.55516e+12 0.00000e+00 
5.36493e-02 1.57106e+12  -1.57105e+12 0.00000e+00 
5.37854e-02 1.58707e+12  -1.58706e+12 0.00000e+00 
5.39216e-02 1.60321e+12  -1.60320e+12 0.00000e+00 
5.40578e-02 1.61946e+12  -1.61945e+12 0.00000e+00 
5.41939e-02 1.63584e+12  -1.63583e+12 0.00000e+00 
5.43301e-02 1.65235e+12  -1.65234e+12 0.00000e+00 
5.44663e-02 1.66897e+12  -1.66896e+12 0.00000e+00 
5.46024e-02 1.68573e+12  -1.68572e+12 0.00000e+00 
5.47386e-02 1.70260e+12  -1.70259e+12 0.00000e+00 
