2.72331e-05 1.04307e-01  -2.80830e-21 0.00000e+00 
6.61766e-03 3.63699e+08  -3.63693e+08 0.00000e+00 
6.64489e-03 3.69723e+08  -3.69717e+08 0.00000e+00 
6.67213e-03 3.75822e+08  -3.75815e+08 0.00000e+00 
6.69936e-03 3.81995e+08  -3.81989e+08 0.00000e+00 
6.72659e-03 3.88244e+08  -3.88238e+08 0.00000e+00 
6.75383e-03 3.94570e+08  -3.94564e+08 0.00000e+00 
6.78106e-03 4.00973e+08  -4.00966e+08 0.00000e+00 
6.80829e-03 4.07453e+08  -4.07446e+08 0.00000e+00 
6.83553e-03 4.14012e+08  -4.14005e+08 0.00000e+00 
6.86276e-03 4.20649e+08  -4.20642e+08 0.00000e+00 
6.88999e-03 4.27366e+08  -4.27359e+08 0.00000e+00 
6.91723e-03 4.34163e+08  -4.34156e+08 0.00000e+00 
6.94446e-03 4.41040e+08  -4.41034e+08 0.00000e+00 
6.97169e-03 4.47999e+08  -4.47993e+08 0.00000e+00 
6.99893e-03 4.55041e+08  -4.55034e+08 0.00000e+00 
7.02616e-03 4.62164e+08  -4.62158e+08 0.00000e+00 
7.05339e-03 4.69372e+08  -4.69365e+08 0.00000e+00 
7.08063e-03 4.76663e+08  -4.76656e+08 0.00000e+00 
7.10786e-03 4.84038e+08  -4.84031e+08 0.00000e+00 
7.13509e-03 4.91499e+08  -4.91492e+08 0.00000e+00 
7.16233e-03 4.99046e+08  -4.99039e+08 0.00000e+00 
7.18956e-03 5.06680e+08  -5.06673e+08 0.00000e+00 
7.21679e-03 5.14401e+08  -5.14393e+08 0.00000e+00 
7.24403e-03 5.22209e+08  -5.22202e+08 0.00000e+00 
7.27126e-03 5.30106e+08  -5.30099e+08 0.00000e+00 
7.29849e-03 5.38093e+08  -5.38085e+08 0.00000e+00 
7.32573e-03 5.46169e+08  -5.46162e+08 0.00000e+00 
7.35296e-03 5.54336e+08  -5.54328e+08 0.00000e+00 
7.38019e-03 5.62594e+08  -5.62587e+08 0.00000e+00 
7.40743e-03 5.70944e+08  -5.70937e+08 0.00000e+00 
7.43466e-03 5.79387e+08  -5.79379e+08 0.00000e+00 
7.46189e-03 5.87923e+08  -5.87915e+08 0.00000e+00 
7.48913e-03 5.96553e+08  -5.96545e+08 0.00000e+00 
7.51636e-03 6.05278e+08  -6.05270e+08 0.00000e+00 
7.54359e-03 6.14098e+08  -6.14090e+08 0.00000e+00 
7.57083e-03 6.23014e+08  -6.23006e+08 0.00000e+00 
7.59806e-03 6.32026e+08  -6.32018e+08 0.00000e+00 
7.62529e-03 6.41137e+08  -6.41128e+08 0.00000e+00 
7.65253e-03 6.50345e+08  -6.50337e+08 0.00000e+00 
7.67976e-03 6.59652e+08  -6.59644e+08 0.00000e+00 
7.70699e-03 6.69059e+08  -6.69050e+08 0.00000e+00 
7.73423e-03 6.78566e+08  -6.78557e+08 0.00000e+00 
7.76146e-03 6.88174e+08  -6.88165e+08 0.00000e+00 
7.78869e-03 6.97883e+08  -6.97875e+08 0.00000e+00 
7.81593e-03 7.07695e+08  -7.07687e+08 0.00000e+00 
7.84316e-03 7.17610e+08  -7.17602e+08 0.00000e+00 
7.87039e-03 7.27629e+08  -7.27620e+08 0.00000e+00 
7.89763e-03 7.37753e+08  -7.37744e+08 0.00000e+00 
