7.89937e-06 2.35382e-03  5.34786e-13 0.00000e+00 
1.34289e-03 6.41856e+09  -6.41806e+09 0.00000e+00 
1.35079e-03 6.64773e+09  -6.64723e+09 0.00000e+00 
1.35869e-03 6.88369e+09  -6.88317e+09 0.00000e+00 
1.36659e-03 7.12657e+09  -7.12604e+09 0.00000e+00 
1.37449e-03 7.37656e+09  -7.37602e+09 0.00000e+00 
1.38239e-03 7.63382e+09  -7.63326e+09 0.00000e+00 
1.39029e-03 7.89850e+09  -7.89793e+09 0.00000e+00 
1.39819e-03 8.17079e+09  -8.17021e+09 0.00000e+00 
1.40609e-03 8.45086e+09  -8.45026e+09 0.00000e+00 
1.41399e-03 8.73888e+09  -8.73827e+09 0.00000e+00 
1.42189e-03 9.03503e+09  -9.03441e+09 0.00000e+00 
1.42979e-03 9.33951e+09  -9.33887e+09 0.00000e+00 
1.43768e-03 9.65248e+09  -9.65183e+09 0.00000e+00 
1.44558e-03 9.97414e+09  -9.97348e+09 0.00000e+00 
1.45348e-03 1.03047e+10  -1.03040e+10 0.00000e+00 
1.46138e-03 1.06443e+10  -1.06436e+10 0.00000e+00 
1.46928e-03 1.09932e+10  -1.09925e+10 0.00000e+00 
1.47718e-03 1.13516e+10  -1.13509e+10 0.00000e+00 
1.48508e-03 1.17197e+10  -1.17189e+10 0.00000e+00 
1.49298e-03 1.20976e+10  -1.20968e+10 0.00000e+00 
1.50088e-03 1.24857e+10  -1.24849e+10 0.00000e+00 
1.50878e-03 1.28840e+10  -1.28832e+10 0.00000e+00 
1.51668e-03 1.32929e+10  -1.32921e+10 0.00000e+00 
1.52458e-03 1.37126e+10  -1.37118e+10 0.00000e+00 
1.53248e-03 1.41433e+10  -1.41424e+10 0.00000e+00 
1.54038e-03 1.45851e+10  -1.45843e+10 0.00000e+00 
1.54828e-03 1.50384e+10  -1.50375e+10 0.00000e+00 
1.55618e-03 1.55034e+10  -1.55025e+10 0.00000e+00 
1.56407e-03 1.59803e+10  -1.59794e+10 0.00000e+00 
1.57197e-03 1.64694e+10  -1.64684e+10 0.00000e+00 
1.57987e-03 1.69708e+10  -1.69699e+10 0.00000e+00 
1.58777e-03 1.74850e+10  -1.74840e+10 0.00000e+00 
1.59567e-03 1.80120e+10  -1.80110e+10 0.00000e+00 
1.60357e-03 1.85522e+10  -1.85512e+10 0.00000e+00 
1.61147e-03 1.91059e+10  -1.91048e+10 0.00000e+00 
1.61937e-03 1.96732e+10  -1.96722e+10 0.00000e+00 
1.62727e-03 2.02545e+10  -2.02535e+10 0.00000e+00 
1.63517e-03 2.08501e+10  -2.08490e+10 0.00000e+00 
1.64307e-03 2.14602e+10  -2.14590e+10 0.00000e+00 
1.65097e-03 2.20850e+10  -2.20839e+10 0.00000e+00 
1.65887e-03 2.27250e+10  -2.27239e+10 0.00000e+00 
1.66677e-03 2.33804e+10  -2.33792e+10 0.00000e+00 
1.67467e-03 2.40514e+10  -2.40502e+10 0.00000e+00 
1.68257e-03 2.47384e+10  -2.47372e+10 0.00000e+00 
1.69046e-03 2.54417e+10  -2.54404e+10 0.00000e+00 
1.69836e-03 2.61615e+10  -2.61602e+10 0.00000e+00 
1.70626e-03 2.68982e+10  -2.68970e+10 0.00000e+00 
1.71416e-03 2.76522e+10  -2.76509e+10 0.00000e+00 
1.72206e-03 2.84237e+10  -2.84223e+10 0.00000e+00 
1.72996e-03 2.92130e+10  -2.92116e+10 0.00000e+00 
1.73786e-03 3.00205e+10  -3.00191e+10 0.00000e+00 
1.74576e-03 3.08465e+10  -3.08451e+10 0.00000e+00 
1.75366e-03 3.16914e+10  -3.16900e+10 0.00000e+00 
1.76156e-03 3.25555e+10  -3.25540e+10 0.00000e+00 
1.76946e-03 3.34391e+10  -3.34376e+10 0.00000e+00 
1.77736e-03 3.43426e+10  -3.43411e+10 0.00000e+00 
