5.88441e-03 4.94209e+08  -4.94199e+08 0.00000e+00 
5.91166e-03 5.03433e+08  -5.03422e+08 0.00000e+00 
5.93891e-03 5.12784e+08  -5.12774e+08 0.00000e+00 
5.96617e-03 5.22265e+08  -5.22254e+08 0.00000e+00 
5.99342e-03 5.31875e+08  -5.31864e+08 0.00000e+00 
6.02067e-03 5.41618e+08  -5.41606e+08 0.00000e+00 
6.04792e-03 5.51492e+08  -5.51481e+08 0.00000e+00 
6.07518e-03 5.61502e+08  -5.61490e+08 0.00000e+00 
6.10243e-03 5.71646e+08  -5.71635e+08 0.00000e+00 
6.12968e-03 5.81928e+08  -5.81917e+08 0.00000e+00 
6.15694e-03 5.92348e+08  -5.92337e+08 0.00000e+00 
6.18419e-03 6.02909e+08  -6.02897e+08 0.00000e+00 
6.21144e-03 6.13610e+08  -6.13598e+08 0.00000e+00 
6.23870e-03 6.24454e+08  -6.24443e+08 0.00000e+00 
6.26595e-03 6.35443e+08  -6.35431e+08 0.00000e+00 
6.29320e-03 6.46576e+08  -6.46564e+08 0.00000e+00 
6.32046e-03 6.57856e+08  -6.57844e+08 0.00000e+00 
6.34771e-03 6.69284e+08  -6.69272e+08 0.00000e+00 
6.37496e-03 6.80860e+08  -6.80848e+08 0.00000e+00 
6.40222e-03 6.92587e+08  -6.92574e+08 0.00000e+00 
6.42947e-03 7.04464e+08  -7.04452e+08 0.00000e+00 
6.45673e-03 7.16494e+08  -7.16481e+08 0.00000e+00 
6.48398e-03 7.28676e+08  -7.28663e+08 0.00000e+00 
6.51123e-03 7.41013e+08  -7.41000e+08 0.00000e+00 
6.53849e-03 7.53506e+08  -7.53493e+08 0.00000e+00 
6.56574e-03 7.66155e+08  -7.66142e+08 0.00000e+00 
6.59300e-03 7.78962e+08  -7.78949e+08 0.00000e+00 
6.62025e-03 7.91929e+08  -7.91915e+08 0.00000e+00 
6.64751e-03 8.05056e+08  -8.05042e+08 0.00000e+00 
6.67476e-03 8.18345e+08  -8.18332e+08 0.00000e+00 
6.70202e-03 8.31799e+08  -8.31785e+08 0.00000e+00 
6.72927e-03 8.45417e+08  -8.45403e+08 0.00000e+00 
6.75653e-03 8.59202e+08  -8.59188e+08 0.00000e+00 
6.78378e-03 8.73156e+08  -8.73142e+08 0.00000e+00 
6.81104e-03 8.87279e+08  -8.87265e+08 0.00000e+00 
6.83829e-03 9.01574e+08  -9.01560e+08 0.00000e+00 
6.86555e-03 9.16041e+08  -9.16027e+08 0.00000e+00 
6.89280e-03 9.30683e+08  -9.30669e+08 0.00000e+00 
6.92006e-03 9.45501e+08  -9.45486e+08 0.00000e+00 
6.94731e-03 9.60495e+08  -9.60481e+08 0.00000e+00 
6.97457e-03 9.75668e+08  -9.75653e+08 0.00000e+00 
7.00183e-03 9.91021e+08  -9.91006e+08 0.00000e+00 
7.02908e-03 1.00655e+09  -1.00654e+09 0.00000e+00 
7.05634e-03 1.02227e+09  -1.02225e+09 0.00000e+00 
7.08359e-03 1.03817e+09  -1.03815e+09 0.00000e+00 
7.11085e-03 1.05425e+09  -1.05424e+09 0.00000e+00 
