2.39875e-02 1.37684e+11  -1.37679e+11 0.00000e+00 
2.41223e-02 1.40817e+11  -1.40812e+11 0.00000e+00 
2.42572e-02 1.44003e+11  -1.43999e+11 0.00000e+00 
2.43920e-02 1.47243e+11  -1.47238e+11 0.00000e+00 
2.45269e-02 1.50537e+11  -1.50533e+11 0.00000e+00 
2.46617e-02 1.53886e+11  -1.53882e+11 0.00000e+00 
2.47965e-02 1.57291e+11  -1.57286e+11 0.00000e+00 
2.49314e-02 1.60752e+11  -1.60747e+11 0.00000e+00 
2.50662e-02 1.64269e+11  -1.64265e+11 0.00000e+00 
2.52010e-02 1.67844e+11  -1.67840e+11 0.00000e+00 
2.53358e-02 1.71477e+11  -1.71472e+11 0.00000e+00 
2.54706e-02 1.75169e+11  -1.75164e+11 0.00000e+00 
2.56054e-02 1.78919e+11  -1.78914e+11 0.00000e+00 
2.57401e-02 1.82730e+11  -1.82725e+11 0.00000e+00 
2.58749e-02 1.86601e+11  -1.86596e+11 0.00000e+00 
2.60097e-02 1.90533e+11  -1.90528e+11 0.00000e+00 
2.61444e-02 1.94527e+11  -1.94522e+11 0.00000e+00 
2.62792e-02 1.98583e+11  -1.98578e+11 0.00000e+00 
2.64139e-02 2.02703e+11  -2.02697e+11 0.00000e+00 
2.65487e-02 2.06886e+11  -2.06880e+11 0.00000e+00 
2.66834e-02 2.11133e+11  -2.11128e+11 0.00000e+00 
2.68181e-02 2.15445e+11  -2.15440e+11 0.00000e+00 
2.69528e-02 2.19823e+11  -2.19818e+11 0.00000e+00 
2.70875e-02 2.24268e+11  -2.24262e+11 0.00000e+00 
2.72222e-02 2.28779e+11  -2.28773e+11 0.00000e+00 
2.73569e-02 2.33358e+11  -2.33352e+11 0.00000e+00 
2.74916e-02 2.38005e+11  -2.37999e+11 0.00000e+00 
2.76263e-02 2.42722e+11  -2.42716e+11 0.00000e+00 
2.77609e-02 2.47507e+11  -2.47502e+11 0.00000e+00 
2.78956e-02 2.52364e+11  -2.52358e+11 0.00000e+00 
2.80303e-02 2.57291e+11  -2.57285e+11 0.00000e+00 
2.81649e-02 2.62290e+11  -2.62284e+11 0.00000e+00 
